ピーター	0.159349
スパイダーマン	0.15673
オクトパス	0.114076
マジックハンド	0.0684458
人工知能	0.0587739
エネルギー装置	0.0456305
ドクター	0.0456305
トリチウム	0.0456305
大学生	0.0456305
オクタヴィアス	0.0456305
制御	0.0391826
ハリー	0.0391826
心	0.0377868
ヒーロー	0.0354108
実験	0.030659
救う	0.0289629
消える	0.0262868
生きる	0.0251912
!	0.0251912
二重生活	0.0228152
辞める	0.0228152
はずみ	0.0228152
オットー	0.0228152
チップ	0.0228152
自ら開発	0.0228152
新聞社	0.0228152
編集長	0.0228152
オクタビアス	0.0228152
揺れる	0.0228152
エネルギー装置開発	0.0228152
伸縮自在	0.0228152
怪力	0.0228152
精密作業	0.0228152
求めハリー	0.0228152
四本	0.0228152
地球上	0.0228152
11	0.0228152
しく	0.0228152
貴重	0.0228152
原料	0.0228152
鋼鉄	0.0228152
両方	0.0228152
怪人ドクター	0.0228152
可能	0.0228152
ままここ	0.0228152
パーカー	0.0228152
奴	0.0228152
写真	0.0228152
妄執	0.0228152
憑かれる	0.0228152
おく	0.0228152
喫茶店	0.0228152
資金	0.0228152
基材	0.0228152
接続	0.0228152
銀行強盗	0.0228152
疎遠	0.0228152
迷い	0.0228152
スパイダー	0.0228152
迷う	0.0228152
核融合	0.0228152
実施	0.0228152
グリーン	0.0228152
生活	0.0225151
戦い	0.0217705
横行	0.0195913
婚約	0.0195913
操る	0.0195913
触手	0.0195913
脊髄	0.0195913
取引	0.0195913
公開実験	0.0195913
あまり	0.0195913
撮る	0.0195913
ゴブリン	0.0195913
ため	0.0177495
望む	0.0177054
用意	0.0177054
操作	0.0177054
仲	0.0177054
負傷	0.0177054
研究	0.0177054
訪ねる	0.0177054
犯罪	0.0177054
さらう	0.0177054
2年	0.0177054
暴走	0.0177054
為	0.0163673
人質	0.0163673
逆	0.0163673
回復	0.0153295
繰り返す	0.0153295
勤める	0.0153295
博士	0.0153295
悩む	0.0144815
2	0.0144815
失敗	0.0144815
恋	0.0144815
能力	0.0144815
開発	0.0144815
持つ	0.0143068
どこ	0.0137645
必要	0.0137645
関係	0.0137645
にる	0.0137645
者	0.0137645
連れる	0.0131434
友人	0.0131434
始める	0.0128271
戦う	0.0125956
送る	0.0125956
町	0.0125956
さ	0.0125956
多く	0.0125956
決意	0.0121055
人	0.0121055
新た	0.0121055
破壊	0.0116622
息子	0.0112575
得る	0.0112575
続ける	0.0108852
もと	0.0108852
しまう	0.0106892
こと	0.0106892
戻る	0.0105405
行う	0.0102196
始まる	0.0102196
いく	0.0100152
失う	0.00991946
時	0.00963749
使う	0.00963749
発見	0.00937164
来る	0.00803358
なる	0.00673453
知る	0.00641355
くる	0.00577541
いる	0.00375601
れる	0.0011735
する	0.000553301
